id,country,code,zone,rate
158,ARGENTINA ,54,6,90
159,ARGENTINA ,54341,6,90
160,ARGENTINA ,54264,6,90
161,ARGENTINA ,54342,6,90
162,ARMENIA ,37491,7,130
163,ARMENIA ,37496,7,130
164,ARMENIA ,37499,7,130
165,ARMENIA ,37455,7,130
166,ARMENIA ,37495,7,130
167,ARMENIA ,37450,7,130
168,ARMENIA ,37451,7,130
169,ARMENIA ,37452,7,130
170,ARMENIA ,37453,7,130
171,ARMENIA ,37454,7,130
172,ARMENIA ,37456,7,130
173,ARMENIA ,37457,7,130
174,ARMENIA ,37458,7,130
175,ARMENIA ,37459,7,130
176,ARMENIA ,37492,7,130
177,ARMENIA ,37477,7,130
178,ARMENIA ,37493,7,130
179,ARMENIA ,37494,7,130
180,ARMENIA ,37498,7,130
181,ARMENIA ,37447,7,130
182,ARMENIA ,37497,7,130
183,ARMENIA ,374,7,130
184,ARMENIA ,37410,7,130
185,ARUBA ,29773,7,130
186,ARUBA ,29774,7,130
187,ARUBA ,297630,7,130
188,ARUBA ,297640,7,130
189,ARUBA ,297641,7,130
190,ARUBA ,297600,7,130
191,ARUBA ,297622,7,130
192,ARUBA ,29756,7,130
193,ARUBA ,297592,7,130
194,ARUBA ,297593,7,130
195,ARUBA ,297594,7,130
196,ARUBA ,297597,7,130
197,ARUBA ,297598,7,130
198,ARUBA ,297660,7,130
199,ARUBA ,297661,7,130
200,ARUBA ,297690,7,130
201,ARUBA ,297995,7,130
202,ARUBA ,297996,7,130
203,ARUBA ,297997,7,130
204,ARUBA ,297998,7,130
205,ARUBA ,297,7,130
206,ASCENSION ISLAND ,247,13,1600
207,AUSTRALIA ,6187,2,35
208,AUSTRALIA ,61881,2,35
209,AUSTRALIA ,61882,2,35
210,AUSTRALIA ,61883,2,35
211,AUSTRALIA ,61884,2,35
212,AUSTRALIA ,6173,2,35
213,AUSTRALIA ,61261,2,35
214,AUSTRALIA ,61262,2,35
215,AUSTRALIA ,6138,2,35
216,AUSTRALIA ,6139,2,35
217,AUSTRALIA ,61425,2,35
218,AUSTRALIA ,61430,2,35
219,AUSTRALIA ,61433,2,35
220,AUSTRALIA ,61401,2,35
221,AUSTRALIA ,61402,2,35
222,AUSTRALIA ,61403,2,35
223,AUSTRALIA ,61411,2,35
224,AUSTRALIA ,61412,2,35
225,AUSTRALIA ,61413,2,35
226,AUSTRALIA ,61421,2,35
227,AUSTRALIA ,61422,2,35
228,AUSTRALIA ,61423,2,35
229,AUSTRALIA ,61431,2,35
230,AUSTRALIA ,61432,2,35
231,AUSTRALIA ,61434,2,35
232,AUSTRALIA ,61435,2,35
233,AUSTRALIA ,61466,2,35
234,AUSTRALIA ,61478,2,35
235,AUSTRALIA ,614683,2,35
236,AUSTRALIA ,614684,2,35
237,AUSTRALIA ,614685,2,35
238,AUSTRALIA ,614686,2,35
239,AUSTRALIA ,614687,2,35
240,AUSTRALIA ,614688,2,35
241,AUSTRALIA ,614689,2,35
242,AUSTRALIA ,614790,2,35
243,AUSTRALIA ,614791,2,35
244,AUSTRALIA ,614888,2,35
245,AUSTRALIA ,6142000,2,35
246,AUSTRALIA ,6142001,2,35
247,AUSTRALIA ,6148984,2,35
248,AUSTRALIA ,61400,2,35
249,AUSTRALIA ,61407,2,35
250,AUSTRALIA ,61408,2,35
251,AUSTRALIA ,61409,2,35
252,AUSTRALIA ,61417,2,35
253,AUSTRALIA ,61418,2,35
254,AUSTRALIA ,61419,2,35
255,AUSTRALIA ,61427,2,35
256,AUSTRALIA ,61428,2,35
257,AUSTRALIA ,61429,2,35
258,AUSTRALIA ,61437,2,35
259,AUSTRALIA ,61438,2,35
260,AUSTRALIA ,61439,2,35
261,AUSTRALIA ,61447,2,35
262,AUSTRALIA ,61448,2,35
263,AUSTRALIA ,61457,2,35
264,AUSTRALIA ,61458,2,35
265,AUSTRALIA ,61459,2,35
266,AUSTRALIA ,61467,2,35
267,AUSTRALIA ,61477,2,35
268,AUSTRALIA ,61487,2,35
269,AUSTRALIA ,614444,2,35
270,AUSTRALIA ,614880,2,35
271,AUSTRALIA ,614881,2,35
272,AUSTRALIA ,614882,2,35
273,AUSTRALIA ,614883,2,35
